225,[397645      0 297313 ...      0      0      0],0
226,[4305325       0 3131539 ...       0       0       0],5
227,[151499      0 109564 ...      0      0      0],0
228,[501050      0 357766 ...      0      0      0],0
229,[687700      0 491903 ...      0      0      0],0
230,[781996      0 558707 ...      0      0      0],0
231,[734353      0 524071 ...      0      0      0],0
232,[575009      0 418942 ...      0      0      0],0
233,[433692      0 301215 ...      0      0      0],0
234,[401824      0 285045 ...      0      0      0],0
235,[533922      0 425284 ...      0      0      0],0
236,[1124792       0  795111 ...       0       0       0],6
237,[1219087       0  850683 ...       0       0       0],6
238,[1298827       0  917493 ...       0       0       0],6
239,[565793      0 408412 ...      0      0      0],0
240,[1333646       0  964139 ...       0       0       0],6
241,[438736      0 313855 ...      0      0      0],0
242,[1277104       0  942041 ...       0       0       0],6
243,[684038      0 489160 ...      0      0      0],0
244,[945937      0 436486 ...      0      0      0],0
245,[945285      0 630259 ...      0      0      0],0
246,[835354      0 592017 ...      0      0      0],0
247,[1646853       0 1163094 ...       0       0       0],6
248,[985067      0 733969 ...      0      0      0],6
249,[1116635       0  805403 ...       0       0       0],6
250,[1215603       0  861431 ...       0       0       0],6
251,[503117      0 354072 ...      0      0      0],0
252,[1194240       0  854711 ...       0       0       0],6
253,[657362      0 470739 ...      0      0      0],0
254,[662514      0 472018 ...      0      0      0],0
255,[1169844       0  839398 ...       0       0       0],6
256,[1131685       0  806050 ...       0       0       0],6
257,[1016361       0  723225 ...       0       0       0],6
258,[694558      0 517062 ...      0      0      0],0
259,[792864      0 553832 ...      0      0      0],0
260,[1966783       0 1350309 ...       0       0       0],3
261,[1117609       0  776590 ...       0       0       0],6
262,[367911      0 257288 ...      0      0      0],0
263,[440034      0 312086 ...      0      0      0],0
264,[329578      0 263601 ...      0      0      0],0
265,[811938      0 573810 ...      0      0      0],0
266,[1131659       0  795711 ...       0       0       0],6
267,[861535      0 607745 ...      0      0      0],0
268,[1029067       0  742485 ...       0       0       0],6
269,[545364      0 408883 ...      0      0      0],0
270,[820398      0 579315 ...      0      0      0],0
271,[679772      0 289379 ...      0      0      0],0
272,[680729      0 489987 ...      0      0      0],0
273,[1233155       0  873604 ...       0       0       0],6
274,[644563      0 456673 ...      0      0      0],0
275,[731354      0 520123 ...      0      0      0],0
276,[1073550       0  761738 ...       0       0       0],6
277,[527893      0 393679 ...      0      0      0],0
278,[863594      0 594442 ...      0      0      0],0
279,[362893      0 268455 ...      0      0      0],0
280,[718010      0 539932 ...      0      0      0],0
281,[806115      0 587540 ...      0      0      0],0
282,[1373437       0  964780 ...       0       0       0],6
283,[662034      0 471238 ...      0      0      0],0
284,[756887      0 526528 ...      0      0      0],0
285,[1203002       0  561785 ...       0       0       0],0
286,[778304      0 546928 ...      0      0      0],0
287,[569194      0 410839 ...      0      0      0],0
288,[527048      0 393371 ...      0      0      0],0
289,[633321      0 449679 ...      0      0      0],0
290,[957912      0 680731 ...      0      0      0],6
291,[1252841       0  881088 ...       0       0       0],6
292,[596149      0 417542 ...      0      0      0],0
293,[1191787       0  886200 ...       0       0       0],6
294,[721877      0 497833 ...      0      0      0],0
295,[1085534       0  739289 ...       0       0       0],6
296,[629092      0 433584 ...      0      0      0],0
297,[468694      0 327372 ...      0      0      0],0
298,[883116      0 623339 ...      0      0      0],0
299,[1147019       0  780898 ...       0       0       0],6
300,[660256      0 457830 ...      0      0      0],0
301,[412716      0 302333 ...      0      0      0],0
302,[1037016       0  729918 ...       0       0       0],6
303,[1148283       0  797183 ...       0       0       0],6
304,[283439      0 198991 ...      0      0      0],0
305,[1043375       0  532044 ...       0       0       0],0
306,[295117      0 212268 ...      0      0      0],0
307,[1147369       0  788723 ...       0       0       0],6
308,[463951      0 348248 ...      0      0      0],0
309,[611257      0 450387 ...      0      0      0],0
310,[808614      0 566961 ...      0      0      0],0
311,[855832      0 606317 ...      0      0      0],0
312,[817368      0 562704 ...      0      0      0],0
313,[681870      0 473127 ...      0      0      0],0
314,[346198      0 265404 ...      0      0      0],0
315,[987036      0 705947 ...      0      0      0],6
316,[1250171       0  915785 ...       0       0       0],6
317,[531265      0 379901 ...      0      0      0],0
318,[514212      0 353083 ...      0      0      0],0
319,[591462      0 423015 ...      0      0      0],0
320,[666914      0 478690 ...      0      0      0],0
321,[412458      0 296781 ...      0      0      0],0
322,[1529613       0 1094873 ...       0       0       0],6
323,[1199117       0  880811 ...       0       0       0],6
324,[957490      0 688511 ...      0      0      0],6
325,[11038575        0  7630351 ...        0        0        0],7
326,[296467      0 214312 ...      0      0      0],0
327,[468669      0 352002 ...      0      0      0],0
328,[460230      0 334811 ...      0      0      0],0
329,[843700      0 359291 ...      0      0      0],0
330,[399221      0 288031 ...      0      0      0],0
331,[1153432       0  818698 ...       0       0       0],6
332,[228858      0 162802 ...      0      0      0],0
333,[1060163       0  736705 ...       0       0       0],6
334,[995268      0 450461 ...      0      0      0],0
335,[477616      0 340877 ...      0      0      0],0
336,[590145      0 428786 ...      0      0      0],0
337,[320442      0 228698 ...      0      0      0],0
338,[863451      0 644291 ...      0      0      0],0
339,[1047580       0  740148 ...       0       0       0],6
340,[1620191       0 1138828 ...       0       0       0],6
341,[2869178       0 1978002 ...       0       0       0],3
342,[524054      0 382031 ...      0      0      0],0
343,[1333408       0  961914 ...       0       0       0],6
344,[1124990       0  767302 ...       0       0       0],6
345,[989262      0 690434 ...      0      0      0],6
346,[390360      0 285783 ...      0      0      0],0
347,[698731      0 497503 ...      0      0      0],0
348,[775676      0 545695 ...      0      0      0],0
349,[576755      0 422676 ...      0      0      0],0
350,[807620      0 378279 ...      0      0      0],0
351,[940193      0 659627 ...      0      0      0],0
352,[332672      0 238371 ...      0      0      0],0
353,[1018926       0  738073 ...       0       0       0],6
354,[927429      0 634231 ...      0      0      0],0
355,[3117499       0 2162685 ...       0       0       0],3
356,[541713      0 394825 ...      0      0      0],0
357,[820372      0 596821 ...      0      0      0],0
358,[1354081       0  968421 ...       0       0       0],6
359,[846668      0 585326 ...      0      0      0],0
360,[3135858       0 2275717 ...       0       0       0],3
361,[723707      0 515514 ...      0      0      0],0
362,[631221      0 459211 ...      0      0      0],0
363,[736658      0 514134 ...      0      0      0],0
364,[393376      0 301174 ...      0      0      0],0
365,[907846      0 618607 ...      0      0      0],0
366,[327221      0 238913 ...      0      0      0],0
367,[660575      0 478470 ...      0      0      0],0
368,[4811303       0 3338901 ...       0       0       0],5
369,[693853      0 485806 ...      0      0      0],0
370,[1275880       0  915982 ...       0       0       0],6
371,[1292363       0  908958 ...       0       0       0],6
372,[825122      0 605776 ...      0      0      0],0
373,[808352      0 569824 ...      0      0      0],0
374,[1818173       0 1334543 ...       0       0       0],6
375,[1147702       0  794557 ...       0       0       0],6
376,[655531      0 473357 ...      0      0      0],0
377,[747465      0 538752 ...      0      0      0],0
378,[495965      0 350818 ...      0      0      0],0
379,[785019      0 543462 ...      0      0      0],0
380,[587742      0 426936 ...      0      0      0],0
381,[579198      0 412849 ...      0      0      0],0
382,[1223163       0  853513 ...       0       0       0],6
383,[4339391       0 3119957 ...       0       0       0],5
384,[591190      0 486486 ...      0      0      0],0
385,[727603      0 505072 ...      0      0      0],0
386,[574194      0 416334 ...      0      0      0],0
